DATA_ODCZYTU;ZUZYCIE_BIEZACE;JEDNOSTKA;DATA_POPRZEDNIEGO_ODCZYTU;ODCZYT_BIEZACY;ODCZYT_POPRZEDNI;STREFA_EC;ADRES_PPE;TYP_ODCZYTU;NUMER_LICZNIKA;PUNKT_POBORU;SKLADNIK
15.04.2022;201;kWh;10.02.2022;1801 kWh;1600 kWh;II; CHRUŒLICKA 6,  33-300 NOWY S¥CZ;Odczyt systemowy;70128754;5,90322E+17;Energia czynna strefa II
15.04.2022;116;kWh;09.02.2022;1181 kWh;1065 kWh;II;MJR. HENRYKA SUCHARSKIEGO 60D, NOWY S¥CZ 33-300 Nowy S¹cz;Odczyt systemowy;70178622;5,90322E+17;Energia czynna strefa II
15.04.2022;314;kWh;09.02.2022;2822 kWh;2508 kWh;II;MJR. HENRYKA SUCHARSKIEGO 56D, NOWY S¥CZ 33-300 Nowy S¹cz;Odczyt systemowy;70178654;5,90322E+17;Energia czynna strefa II
09.04.2022;4;kVarh;09.02.2022;43 kVarh;39 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 11AB,  33-300 NOWY S¥CZ;Odczyt systemowy;70180582;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;2;kVarh;09.02.2022;41 kVarh;39 kVarh;I;  BATALIONÓW CH£OPSKICH 12,  33-300 NOWY S¥CZ;Odczyt systemowy;70301251;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;4;kVarh;09.02.2022;39 kVarh;35 kVarh;I;  BATALIONÓW CH£OPSKICH 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70301247;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;37;kVarh;09.02.2022;316 kVarh;279 kVarh;I;  PARTYZANTÓW 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70180767;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;37;kVarh;09.02.2022;316 kVarh;279 kVarh;I;  MJR. HUBALA 1B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180757;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;32;kVarh;09.02.2022;284 kVarh;252 kVarh;I;  MJR. HUBALA 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70180574;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;40;kVarh;09.02.2022;325 kVarh;285 kVarh;I;  PARTYZANTÓW 7,  33-300 NOWY S¥CZ;Odczyt systemowy;70180573;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;4;kVarh;09.02.2022;44 kVarh;40 kVarh;I;  PARTYZANTÓW 3,  33-300 NOWY S¥CZ;Odczyt systemowy;70180772;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;36;kVarh;09.02.2022;314 kVarh;278 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 1,  33-300 NOWY S¥CZ;Odczyt systemowy;70180770;5,90322E+17;Energia bierna indukcyjna strefa I
09.04.2022;35;kVarh;09.02.2022;305 kVarh;270 kVarh;I;  PARTYZANTÓW 16,  33-300 NOWY S¥CZ;Odczyt systemowy;70180746;5,90322E+17;Energia bierna indukcyjna strefa I
